group,k1,k2_min,k2_probs,dc,ekz_I,lecture_test,k3,k4,auditorka,ekz_final
БЭК1712,18.5,35,11,10,18,7,73,75.5,10,4
БЭК1712,8,40,2,10,12,,23,51,3.1,3
БЭК1712,14.5,40,9,10,14,4,13,38,9.2,4
БЭК1712,11,40,18,5,11,,0,0,0,неявка
БЭК1712,2,32,0,10,9,9,19,32,8.7,7
БЭК1712,11,40,1,10,11,7,14,29,9.3,7
БЭК1712,0.5,14,0,10,18,4,1,0,5.7,2
БЭК1712,12,40,18,10,12,6,23,51,9,3
БЭК1712,18,40,24.5,10,18,10,64,71,9.7,4
БЭК1712,17,37,19,10,20,10,65,47,5.4,2
БЭК1712,18.5,40,5,10,18,10,10,63,8.7,4
БЭК1712,15,33,0,10,14,7,10,37,5.3,7
БЭК1712,0,0,0,0,#N/A,,0,0,0,неявка
БЭК1712,20,40,33,10,22,9,66.5,85,10,4
БЭК1712,8.75,39,0,10,10,7,26,42,9.2,2
БЭК1712,0,0,0,10,11,0,0,0,0,неявка
БЭК1712,33,40,24,10,18,10,66.75,67,9.8,4
NA,,,,0,#N/A,,0,0,,1
БЭК1711,14,40,12,10,18,3,18,53,10,2
БЭК1710,40.5,40,23,10,20,,61,99,9.1,7
БЭК173,30,25,0,10,20,10,56,70,10,3
БЭК173,20,40,24,10,21,10,72,69,10,5
БЭК173,1,15,0,10,9,,0,25,6,1
БЭК173,30,38,35,10,22,10,98,97,10,7
БЭК173,22,40,24,10,23,,25,82,10,5
БЭК173,13,35,13,10,16,,0,58,0,2
БЭК173,0,20,0,10,#N/A,,0,27,2,неявка
БЭК173,0,21,0,0,25,,1,6,3,1
БЭК173,0,25,0,0,10,,10,1,4,неявка
БЭК173,15,40,0,10,17,,15,33,6,3
БЭК173,0,15,0,0,#N/A,,0,0,4,1
БЭК173,24,40,23,10,22,10,89,89,10,7
БЭК173,0,21,0,0,14,8,10,21,0,2
БЭК173,0,5,0,10,10,,19,51,6,4
БЭК173,20,35,17,5,21,7,75,82,10,5
БЭК173,0,1,0,10,11,0,0,0,1,неявка
БЭК173,0,,0,0,#N/A,,0,0,,неявка
БЭК173,22,39,25,10,21,10,59,90,10,7
БЭК173,29,35,19,10,21,10,56,34,8,4
БЭК173,20,39,28,10,20,8,27,76,10,7
БЭК173,8,30,0,10,10,0,10,53,8,2
БЭК173,16,40,21,5,15,4,74,70,10,6
БЭК173,24,35,34,10,20,,20,90,10,7
БЭК173,20,40,8,10,#N/A,10,68,77,9,6
БЭК173,15,5,0,10,13,0,10,0,1,1
БЭК173,33,40,29,10,20,10,90,84,10,4
БЭК173,20,40,32,10,23,10,84,42,10,10
БЭК174,0,0,0,10,9,,0,0,,неявка
БЭК174,0,0,0,10,8,4,1,0,,неявка
БЭК174,17,40,3,10,9,9,42,46,10,3
БЭК174,27,40,22,10,18,0,81,89,10,5
БЭК174,18,38,13,10,14,,46,73,9,3
БЭК174,13,36,25,10,19,,31,59,10,5
БЭК174,16,40,15,10,20,10,70,83,10,6
БЭК174,21,39,13,10,15,,40,61,10,2
БЭК174,16,40,10,10,14,,23,77,9,1
БЭК174,19,36,7,10,14,,0,50,6,7
БЭК174,13,26,0,10,5,5,30,33,10,4
БЭК174,17,40,12,10,17,,58,48,10,3
БЭК174,0,0,0,0,#N/A,,0,0,,неявка
БЭК174,15,40,9,10,15,,27,40,9,1
БЭК174,17,36,17,10,6,,25,50,9,неявка
БЭК174,13,35,4,10,20,10,73,72,10,5
БЭК174,25,40,28,10,16,7,62,66,10,4
